index,Features,mean,mean-,mean+,cutoff,dividend_toggle
Details,"['Book/sh', 'PEG', 'EPS next Y', 'P/S', 'ATR', 'Target Price']",0.0986202194923033,0.0715984608514506,0.125641978133156,0.154921350636663,0
Details,"['EPS (ttm)', 'Book/sh', 'ATR', 'P/B', 'EPS next Y', 'EPS next Q']",0.0944382518626925,0.0706230901202519,0.118253413605133,0.176054303865023,0
Details,"['P/B', 'Cash/sh', 'ATR', 'EPS next Y', 'PEG', 'Prev Close']",0.102589100457818,0.0696033491070175,0.135574851808619,0.171160824797337,0
Details,"['Book/sh', 'EPS (ttm)', 'Cash/sh', 'P/FCF', 'ATR', 'EPS next Q']",0.108653051821102,0.0705466936829671,0.146759409959237,0.164775533115964,0
Details,"['Cash/sh', 'Prev Close', 'Target Price', 'Book/sh', 'P/FCF', 'PEG']",0.0960967135434352,0.0671656660098362,0.125027761077034,0.110123990234677,0
Details,"['EPS next Y', 'EPS (ttm)', 'Target Price', 'P/S', 'ATR']",0.105993373793651,0.0728126363296503,0.139174111257651,0.167661762579273,0
Details,"['EPS (ttm)', 'Cash/sh', 'EPS next Q', 'EPS next Y', 'Book/sh', 'P/B']",0.103149028192763,0.0792350214863105,0.127063034899216,0.182028688074592,0
Details,"['Target Price', 'EPS next Y', 'P/FCF', 'ATR', 'EPS (ttm)', 'Cash/sh']",0.0914856036857239,0.0537757827974976,0.12919542457395,0.155312497914247,0
Details,"['EPS (ttm)', 'EPS next Q', 'Prev Close', 'Target Price', 'EPS next Y', 'Book/sh']",0.101106912944141,0.057848401962579,0.144365423925703,0.169086134776686,0
Details,"['Cash/sh', 'EPS (ttm)', 'Book/sh', 'PEG', 'Target Price', 'EPS next Q']",0.0928548764227562,0.070571294173101,0.115138458672411,0.168721280036149,0
Details,"['Cash/sh', 'EPS (ttm)', 'Target Price', 'P/FCF', 'Book/sh']",0.0965386020489347,0.0735399139280489,0.11953729016982,0.136654697807004,0
Details,"['PEG', 'Cash/sh', 'ATR', 'P/FCF', 'EPS next Q', 'Book/sh']",0.0952358315783817,0.0640020322208408,0.126469630935923,0.169146773557022,0
Details,"['ATR', 'P/FCF', 'PEG', 'Book/sh', 'Cash/sh', 'P/B']",0.0983770850921824,0.0749867213487007,0.121767448835664,0.173294597549576,0
Details,"['P/FCF', 'Prev Close', 'Target Price', 'P/B', 'EPS next Q']",0.0928634843716422,0.0589034418436074,0.126823526899677,0.141202791226671,0
Details,"['EPS next Q', 'P/S', 'P/B', 'ATR', 'PEG', 'Target Price']",0.0915879203868157,0.05629707982944,0.126878760944191,0.156110753315481,0
Details,"['Cash/sh', 'P/B', 'EPS next Y', 'P/S', 'Book/sh', 'ATR']",0.104547992039546,0.0757883873704644,0.133307596708627,0.163106697437543,0
Details,"['EPS next Y', 'Target Price', 'P/B', 'Prev Close', 'EPS (ttm)', 'EPS next Q']",0.105199576181405,0.0580022479567775,0.152396904406033,0.158272362106149,0
Details,"['PEG', 'EPS next Y', 'P/FCF', 'Target Price', 'ATR', 'Prev Close']",0.0917317483861254,0.0568872096585988,0.126576287113652,0.164385345165453,0
Details,"['PEG', 'ATR', 'Cash/sh', 'EPS next Y', 'Prev Close', 'EPS (ttm)']",0.101393629338566,0.0751079987861609,0.127679259890971,0.16812326957291,0
Details,"['ATR', 'P/FCF', 'EPS next Y', 'Cash/sh', 'Target Price', 'PEG']",0.110319211868969,0.075089492768153,0.145548930969785,0.161466830057747,0
Details,"['P/S', 'Cash/sh', 'Target Price', 'EPS (ttm)', 'Book/sh']",0.0996676272949047,0.0742182068807812,0.125117047709028,0.15554586411762,0
Details,"['EPS next Q', 'ATR', 'EPS next Y', 'Target Price', 'P/S', 'EPS (ttm)']",0.117287045738295,0.0790384010823433,0.155535690394247,0.165181866595641,0
Details,"['EPS next Y', 'Prev Close', 'EPS next Q', 'Target Price', 'EPS (ttm)', 'P/S']",0.0935428463775223,0.0533674999716233,0.133718192783421,0.150076804053455,0
Details,"['EPS next Q', 'Cash/sh', 'PEG', 'EPS (ttm)', 'Target Price', 'P/FCF']",0.0996575708191513,0.0634300467570945,0.135885094881208,0.155302489828805,0
Details,"['P/FCF', 'Cash/sh', 'Book/sh', 'EPS (ttm)', 'Target Price', 'EPS next Y']",0.0970044033991491,0.0699198595164321,0.124088947281866,0.143864365828171,0
Details,"['Target Price', 'PEG', 'Prev Close', 'EPS next Y', 'EPS (ttm)', 'P/S']",0.0977331725448153,0.0546619220552048,0.140804423034426,0.151660407350731,0
Details,"['Book/sh', 'ATR', 'Cash/sh', 'EPS (ttm)', 'EPS next Y', 'Prev Close']",0.0951275620761092,0.0676177658645586,0.12263735828766,0.176656838148233,0
Details,"['P/S', 'Cash/sh', 'ATR', 'Book/sh', 'P/B', 'EPS next Y']",0.106945148381996,0.0753932299022193,0.138497066861773,0.168766244597413,0
Details,"['Cash/sh', 'EPS next Q', 'P/S', 'Target Price', 'ATR', 'EPS (ttm)']",0.116147250253122,0.0889104760048485,0.143384024501395,0.171336855669274,0
Details,"['P/FCF', 'ATR', 'Book/sh', 'EPS next Y', 'Target Price', 'EPS (ttm)']",0.0940558152145506,0.0684997033034887,0.119611927125613,0.157489923168215,0
Details,"['Cash/sh', 'Prev Close', 'Book/sh', 'P/FCF', 'ATR', 'EPS next Q']",0.0951060456315332,0.0636941816520369,0.126517909611029,0.161699839041608,0
Details,"['Prev Close', 'Cash/sh', 'P/FCF', 'Book/sh', 'PEG', 'EPS next Y']",0.116302711116599,0.0818092678127592,0.150796154420439,0.1528548819747,0
Details,"['EPS next Q', 'EPS next Y', 'Cash/sh', 'P/FCF', 'Target Price', 'Prev Close']",0.0938485594617698,0.0559703415420138,0.131726777381526,0.147426191210557,0
Details,"['P/S', 'Target Price', 'EPS next Q', 'EPS next Y', 'PEG', 'EPS (ttm)']",0.0929951892018679,0.0683803499331578,0.117610028470578,0.172348528522754,0
Details,"['Cash/sh', 'EPS next Q', 'ATR', 'EPS next Y', 'P/S', 'Target Price']",0.105177929748889,0.0774441817191348,0.132911677778643,0.1656043541988,0
Details,"['Cash/sh', 'PEG', 'Book/sh', 'P/FCF', 'EPS next Y']",0.0965903481056294,0.0616939146214335,0.131486781589825,0.157037114314125,0
Details,"['Cash/sh', 'Prev Close', 'Book/sh', 'ATR', 'EPS next Y']",0.112285611806172,0.0768276350237123,0.147743588588633,0.178814080091794,0
Details,"['PEG', 'Prev Close', 'Cash/sh', 'Target Price', 'P/S', 'EPS next Q']",0.0965684072015284,0.0586206470442188,0.134516167358838,0.146035234167481,0
Details,"['Prev Close', 'P/B', 'ATR', 'EPS next Y', 'Cash/sh', 'P/FCF']",0.0958725121662605,0.0689916028687058,0.122753421463815,0.162325951648227,0
Details,"['PEG', 'Book/sh', 'ATR', 'EPS next Y', 'Cash/sh', 'P/FCF']",0.116614500229044,0.0826911242940147,0.150537876164073,0.15612363528025,0
